Day,Time,Show,Episode Title,Status,Matched File ID,Match Score
Monday June 29,12:10 AM,The Lease-Up - MHN Top Marketers,Top Marketers: Providing Value in a Multifamily Adjacent Space,MATCHED,2444229,100
Monday June 29,12:35 AM,The apartment department,Season 2 Episode 9 Supporting a Prospect First Experience with Technology,MATCHED,2370829,72
Monday June 29,1:15 AM,The NAA Apartmentcast,Season 1 Episode 12 The NAA Apartmentcast - Apartment Career Journeys - Kayla Quint,MATCHED,7889013,100
Monday June 29,2:00 AM,Multifamily Matters,29 Safety and Security at Multifamily Properties,MATCHED,2350696,93
Monday June 29,2:55 AM,ChangeMakers with Katie Goar,"84 Part:one Tanya Dempsey & Nicole Graham, Co-CEOs, CSG Advisors",MATCHED,2444298,70
Monday June 29,3:15 AM,The Lease-Up - MHN Management Diaries,Management Diaries: Are Your Properties Really Ready?,NEEDS UPLOAD,,67
Monday June 29,3:45 AM,The apartment department,Season 2 Episode 6 Are you Ready for the Future? Video Marketing 101,NEEDS UPLOAD,,68
Monday June 29,4:30 AM,The NAA Apartmentcast,Season 3 Episode 14 The NAA Apartmentcast - A Q4 Conversation with NAAEI President Kelli Lea,MATCHED,7889233,100
Monday June 29,4:55 AM,Multifamily Matters,121 Home Safe Home: How Millennial Preferences Are Redefining Multifamily Living,MATCHED,2350757,100
Monday June 29,5:50 AM,ChangeMakers with Katie Goar,"25 Part:one Evette Hester, Executive Director and CEO Housing Authority of New Orleans",NEEDS UPLOAD,,62
Monday June 29,6:10 AM,The Lease-Up - MHN Mission Success,Mission Success: How to Do Property Upgrades in a Cash-Tight Environment,NEEDS UPLOAD,,58
Monday June 29,6:35 AM,The apartment department,Season 2 Episode 7 Why Can't We All Just Get Along? The Argument for Unified Multifamily Marketing,MATCHED,2370827,78
Monday June 29,7:25 AM,The NAA Apartmentcast,"Season 4 Episode 1 Snappt – Trust, Transparency and Fraud Prevention as Powerful Amenities",NEEDS UPLOAD,,48
Monday June 29,8:15 AM,ChangeMakers with Katie Goar,"84 Part:two Tanya Dempsey & Nicole Graham, Co-CEOs, CSG Advisors",MATCHED,2444299,70
Monday June 29,8:40 AM,The Lease-Up - MHN Mission Success,How Bell Partners’ Lili Dunn Made Her Mark,NEEDS UPLOAD,,48
Monday June 29,9:00 AM,Multifamily - From The Ground Up,Episode - 002 Building Through the Cycle: Smart Multifamily Development in Today’s Market,NEEDS UPLOAD,,59
Monday June 29,9:40 AM,The apartment department,Season 1 Episode 3 Time is Money: Reducing Average Days Vacant for Increased Revenue,MATCHED,2370804,81
Monday June 29,10:00 AM,Multifamily Matters,431 Building A Superhighway To Housing,NEEDS UPLOAD,,55
Monday June 29,11:00 AM,The NAA Apartmentcast,Season 1 Episode 11 Apartment Career Journeys - Brett Frank,MATCHED,7889012,77
Monday June 29,11:30 AM,ChangeMakers with Katie Goar,"133 Maura Collins, Executive Director, Vermont Housing Finance Agency",NEEDS UPLOAD,,53
Monday June 29,12:15 PM,The Lease-Up - MHN Mission Success,"Mission Success: Another Challenge? Bring it On, Says Jennifer Rowe",MATCHED,2468333,100
Monday June 29,12:40 PM,The apartment department,Season 3 Episode 2 Automating the Routine to Elevate the Human Experience: AI Success with Arthur Kosmider and Brent Camp,NEEDS UPLOAD,,58
Monday June 29,1:15 PM,The NAA Apartmentcast,- Spotlight on Rental Housing Affinity Groups,MATCHED,7889225,80
Monday June 29,2:05 PM,ChangeMakers with Katie Goar,"76 Part:one Carol R. Naughton, Chief Executive Officer, Purpose Built Communities",MATCHED,2444282,76
Monday June 29,2:30 PM,Multifamily - From The Ground Up,Episode - 003 Staying Disciplined Through Uncertainty,NEEDS UPLOAD,,46
Monday June 29,3:20 PM,The Lease-Up - MHN NAA Insights,Where Will the Economy Be by Year-End?,MATCHED,2444241,100
Monday June 29,3:40 PM,Multifamily Matters,431 Building A Superhighway To Housing,NEEDS UPLOAD,,55
Monday June 29,4:30 PM,The apartment department,Season 2 Episode 2 Inside the Mind of an Operator: Stacey Hampton on Solving Occupancy Challenges and Selling Marketing,MATCHED,2370822,86
Monday June 29,5:20 PM,The NAA Apartmentcast,Season 3 Episode 13 The NAA Apartmentcast - Housing Dollars and Political Sense,MATCHED,7889232,100
Monday June 29,6:15 PM,ChangeMakers with Katie Goar,"97 Part:one Mariah Hayden, Executive Director, New Life Village",MATCHED,2444328,71
Monday June 29,6:45 PM,The Lease-Up - MHN Mission Success,"Mission Success: Another Challenge? Bring it On, Says Jennifer Rowe",MATCHED,2468333,100
Monday June 29,7:10 PM,The apartment department,"Season 1 Episode 13 The Blueprint Edition: AI, The Property Brothers, Data, Role Specialization, & Everything In-Between",MATCHED,2370815,86
Monday June 29,8:15 PM,The NAA Apartmentcast,Season 2 Episode 2 The NAA Apartmentcast - Federal Legislative Priorities for the Apartment Industry,MATCHED,7889015,100
Monday June 29,8:40 PM,Multifamily Matters,54 The Proptech Tsunami That Is Making Landfall in the Multifamily Spaces,MATCHED,2350677,95
Monday June 29,9:35 PM,ChangeMakers with Katie Goar,"8 Part:two Jason Géno, Founder and Managing Principal of Human Capital Initiatives",NEEDS UPLOAD,,55
Monday June 29,9:55 PM,The Lease-Up - MHN Mission Success,Mission Success: Multifamily Is Still at the Top of the Food Chain,MATCHED,2444189,100
Monday June 29,10:20 PM,Multifamily - From The Ground Up,Episode - 001 From Blueprint to Building – The Future of Multifamily Development,NEEDS UPLOAD,,59
Monday June 29,11:00 PM,The apartment department,Season 2 Episode 18 The Future is Automated: Transforming Multifamily Operations with Minna Song,NEEDS UPLOAD,,60
Monday June 29,11:35 PM,The NAA Apartmentcast,Season 2 Episode 12 The NAA Apartmentcast - NAA's Legal Affairs Update,MATCHED,7889104,100
Tuesday June 30,12:35 AM,Multifamily Matters,351 Impact Leadership in Multifamily,MATCHED,2350539,90
Tuesday June 30,1:30 AM,ChangeMakers with Katie Goar,"30 Part:two Brad Hargreaves, Founder and CEO of Common",NEEDS UPLOAD,,65
Tuesday June 30,1:45 AM,The Lease-Up - MHN NAA Insights,NAA Insights: How a Federal Rent Cap Would Harm Housing,MATCHED,2444199,100
Tuesday June 30,2:00 AM,The apartment department,Season 1 Episode 17 Geo-fencing: A Marketer’s Best-Kept Secret,NEEDS UPLOAD,,61
Tuesday June 30,2:45 AM,The NAA Apartmentcast,- The Ripple Effect: Rent Regulation and Its Effects on Housing,MATCHED,7889020,72
Tuesday June 30,2:55 AM,The NAA Apartmentcast,Season 2 Episode 9 and Neighborhood Quality,NEEDS UPLOAD,,45
Tuesday June 30,3:25 AM,Multifamily Matters,337 Unlocking Doors – Meeting Housing Needs Through Adaptive Reuse,MATCHED,2350567,77
Tuesday June 30,4:20 AM,ChangeMakers with Katie Goar,"33 Part:two Richard Sciortino, Co-founder, Brinshore Development",NEEDS UPLOAD,,50
Tuesday June 30,4:40 AM,The Lease-Up - MHN Mission Success,Mission Success: Combining Passion With the Need to Improve Communities,NEEDS UPLOAD,,61
Tuesday June 30,5:10 AM,The apartment department,Season 3 Episode 1 Digital Curb Appeal and the Era of Authenticity with Daniel Paulino,NEEDS UPLOAD,,56
Tuesday June 30,5:40 AM,The NAA Apartmentcast,Season 1 Episode 6 The NAA ApartmentCast - Episode 6,MATCHED,7889010,100
Tuesday June 30,6:00 AM,Multifamily Matters,36 How Can Saving Water Increase Your NOI and Property Value?,MATCHED,2350636,94
Tuesday June 30,6:55 AM,ChangeMakers with Katie Goar,"28 Part:one Zack Giffin, Host of Tiny House Nation and Advocate for the Tiny House Movemen",MATCHED,2444419,78
Tuesday June 30,7:15 AM,The Lease-Up - MHN Mission Success,Mission Success: Serving Middle-Income Residents When Costs Increase,NEEDS UPLOAD,,58
Tuesday June 30,7:45 AM,The apartment department,Season 1 Episode 2 The Role of Internet Listing Services (ILS) in the Marketing Mix,MATCHED,2370803,81
Tuesday June 30,8:10 AM,The NAA Apartmentcast,- Episode 3,NEEDS UPLOAD,,47
Tuesday June 30,8:20 AM,The NAA Apartmentcast,Season 1 Episode 3,MATCHED,2467068,100
Tuesday June 30,8:40 AM,ChangeMakers with Katie Goar,"112 Part:one Tess Hembree, Executive Director of the Council of State Community Development Agencies",MATCHED,2444361,79
Tuesday June 30,9:00 AM,Multifamily - From The Ground Up,Episode - 004 Why Affordable Housing Deals Are Dying,MATCHED,2444151,75
Tuesday June 30,9:40 AM,The Lease-Up - MHN Mission Success,Mission Success: Putting an Entrepreneurial Spin on Multifamily Design,MATCHED,2444190,100
Tuesday June 30,10:00 AM,Multifamily Matters,431 Building A Superhighway To Housing,NEEDS UPLOAD,,55
Tuesday June 30,10:50 AM,The apartment department,"Season 2 Episode 10 AI, Customization, and Humans: The Formula for Leasing Success",MATCHED,2379758,74
Tuesday June 30,11:45 AM,The NAA Apartmentcast,Season 3 Episode 8 The NAA Apartmentcast - What the Final Federal Tax Bill Means for Rental Housing,MATCHED,7889227,100
Tuesday June 30,12:15 PM,The Lease-Up - MHN NAA Insights,NAA Insights: What’s the Future of US Apartment Demand?,MATCHED,2444206,100
Tuesday June 30,12:30 PM,Multifamily Matters,431 Building A Superhighway To Housing,NEEDS UPLOAD,,55
Tuesday June 30,1:20 PM,ChangeMakers with Katie Goar,"97 Part:two Mariah Hayden, Executive Director, New Life Village",MATCHED,2444329,71
Tuesday June 30,2:00 PM,Multifamily - From The Ground Up,Episode - 005 The Affordable Housing Crisis: Beyond Politics and Toward Solutions,NEEDS UPLOAD,,61
Tuesday June 30,2:40 PM,The Lease-Up - MHN Mission Success,Mission Success: Meet Post Brothers' Quarterback,NEEDS UPLOAD,,56
Tuesday June 30,3:10 PM,The apartment department,"Season 2 Episode 10 AI, Customization, and Humans: The Formula for Leasing Success",MATCHED,2379758,74
Tuesday June 30,3:55 PM,The NAA Apartmentcast,Season 2 Episode 10 The NAA Apartmentcast - Mental Health First Aid Training,NEEDS UPLOAD,,65
Tuesday June 30,4:35 PM,Multifamily Matters,365 AI Agents: Your Multifamily Digital Workforce,MATCHED,2350844,93
Tuesday June 30,5:30 PM,ChangeMakers with Katie Goar,"27 Part:two Stephen Norman, Executive Director, King County Housing Authority",NEEDS UPLOAD,,61
Tuesday June 30,6:05 PM,The Lease-Up - MHN Management Diaries,Management Diaries: AI Isn’t Magic,NEEDS UPLOAD,,63
Tuesday June 30,6:30 PM,The apartment department,"Season 2 Episode 3 Innovation Everywhere: Specialization, Centralization, and AI",NEEDS UPLOAD,,69
Tuesday June 30,7:20 PM,Multifamily - From The Ground Up,Episode - 002 Building Through the Cycle: Smart Multifamily Development in Today’s Market,NEEDS UPLOAD,,59
Tuesday June 30,8:00 PM,The NAA Apartmentcast,Season 3 Episode 4 The NAA Apartmentcast - The Ongoing Evolution of Amenity Spaces,MATCHED,7889223,100
Tuesday June 30,8:35 PM,Multifamily Matters,"336 Hey Boomers, Here Come the Zoomers: How to Lead, Coach and Manage Across Multigenerational Teams",MATCHED,2350550,96
Tuesday June 30,9:30 PM,ChangeMakers with Katie Goar,"112 Part:two Tess Hembree, Executive Director of the Council of State Community Development Agencies",MATCHED,2444362,79
Tuesday June 30,9:50 PM,The Lease-Up - MHN Top Marketers,Top Marketers: Branding with a Promise,NEEDS UPLOAD,,68
Tuesday June 30,10:20 PM,The apartment department,Season 2 Episode 8 Multifamily Marketing Today,MATCHED,2444217,82
Tuesday June 30,11:10 PM,The NAA Apartmentcast,Season 4 Episode 2 The NAA Apartmentcast - Sustainable Returns: ESG in Rental Housing,MATCHED,7889035,74
Tuesday June 30,11:55 PM,Multifamily Matters,416 Multifamily’s Next Competitive Advantage Isn’t Technology…it’s Leadership Discipline,NEEDS UPLOAD,,57
Wednesday July 1,12:40 AM,ChangeMakers with Katie Goar,"70 Part:two Kimberly Black King, Chief of Real Estate Development, Volunteers of America",MATCHED,2444270,78
Wednesday July 1,1:00 AM,The Lease-Up - MHN Top Marketers,Top Marketers: The Evolution of Digital Advertising,NEEDS UPLOAD,,61
Wednesday July 1,1:30 AM,The apartment department,Season 3 Episode 11 Performance Management in Multifamily: How to Build a Results-Driven Team,NEEDS UPLOAD,,65
Wednesday July 1,2:25 AM,The NAA Apartmentcast,Season 2 Episode 1 The NAA Apartmentcast - Women in Technology,MATCHED,7889014,100
Wednesday July 1,3:15 AM,Multifamily Matters,377 Fast-Find your ideal residents,MATCHED,2350503,90
Wednesday July 1,4:10 AM,ChangeMakers with Katie Goar,"90 Part:one Andrea Ponsor, President & CEO, Stewards of Affordable Housing for the Future (SAHF)",MATCHED,2444314,78
Wednesday July 1,4:30 AM,The Lease-Up - MHN Student Housing Unlocked,Student Housing Unlocked: Changing the Game Through Thoughtful Design,MATCHED,2444211,100
Wednesday July 1,5:00 AM,The apartment department,Season 3 Episode 6 Renters Decide Before They Tour: The New Reality of Multifamily Marketing,NEEDS UPLOAD,,59
Wednesday July 1,5:55 AM,The NAA Apartmentcast,Season 4 Episode 4 The NAA Apartmentcast - A Rent Dollar's Journey: The Economics Behind Every Step,NEEDS UPLOAD,,66
Wednesday July 1,6:50 AM,Multifamily Matters,165 Great Tools to Keep in Your Multifamily Toolbox and a Couple to Leave Out!,NEEDS UPLOAD,,56
Wednesday July 1,7:45 AM,ChangeMakers with Katie Goar,"44 Part:two Antonio McGinnis, Executive Director, The Huntsville Housing Authority",NEEDS UPLOAD,,56
Wednesday July 1,8:15 AM,The Lease-Up - MHN Top Marketers,"Top Marketers: Integrating ESG, DEI & Philanthropy",NEEDS UPLOAD,,62
Wednesday July 1,9:00 AM,Multifamily - From The Ground Up,Episode - 003 Staying Disciplined Through Uncertainty,NEEDS UPLOAD,,46
Wednesday July 1,9:40 AM,ChangeMakers with Katie Goar,"17 Part:two Alexandra Jackiw, Chief Operating Officer, Hayes Gibson Property Services",NEEDS UPLOAD,,51
Wednesday July 1,10:00 AM,Multifamily Matters,431 Building A Superhighway To Housing,NEEDS UPLOAD,,55
Wednesday July 1,10:50 AM,The apartment department,Season 3 Episode 5 Collaboration and Creativity in Multifamily with Kara Rafferty,NEEDS UPLOAD,,56
Wednesday July 1,11:50 AM,The NAA Apartmentcast,Season 1 Episode 2 The NAA Apartmentcast - Episode 2,MATCHED,7889006,97
Wednesday July 1,12:15 PM,Multifamily Matters,387 Get Better Results With Less Work: Where Automation Makes Sense in Multifamily,MATCHED,2370832,96
Wednesday July 1,1:10 PM,ChangeMakers with Katie Goar,"56 Part:two Peter LiFari, Executive Director, Maiker Housing Partners",MATCHED,2444465,73
Wednesday July 1,1:40 PM,The Lease-Up - MHN Top Marketers,Building Your Personal Brand,MATCHED,2444152,100
Wednesday July 1,1:55 PM,The apartment department,Season 1 Episode 10 Reimagining Apartment Websites: Do Our Prospects Want More?,MATCHED,2370812,79
Wednesday July 1,2:30 PM,Multifamily - From The Ground Up,Episode - 003 Staying Disciplined Through Uncertainty,NEEDS UPLOAD,,46
Wednesday July 1,3:30 PM,Multifamily Matters,431 Building A Superhighway To Housing,NEEDS UPLOAD,,55
Wednesday July 1,4:20 PM,The NAA Apartmentcast,Season 3 Episode 16 The NAA Apartmentcast Sponsor Series – Leonardo247 – Proptech and AI that Performs: Strategies to Drive NOI Growth for Your Unique Operations in 2026,MATCHED,7889236,100
Wednesday July 1,4:50 PM,ChangeMakers with Katie Goar,"126 Joaquín Cintrón Vega, CEO, Denver Housing Authority",MATCHED,2468399,100
Wednesday July 1,5:40 PM,The Lease-Up - MHN Quarterly with NMHC,Is Student Housing Really Recession-Proof?,MATCHED,2444163,100
Wednesday July 1,6:05 PM,The apartment department,Season 3 Episode 3 Community Engagement Strategy for Multifamily Occupancy with Ben Pleat,NEEDS UPLOAD,,59
Wednesday July 1,7:00 PM,Multifamily - From The Ground Up,Episode - 001 From Blueprint to Building – The Future of Multifamily Development,NEEDS UPLOAD,,59
Wednesday July 1,7:40 PM,The NAA Apartmentcast,Season 2 Episode 17 The NAA Apartmentcast - Women in Technology Episode 3,MATCHED,7889219,100
Wednesday July 1,8:40 PM,Multifamily Matters,369 Modeling Success for Multifamily Affordable Housing,MATCHED,2350832,94
Wednesday July 1,9:35 PM,ChangeMakers with Katie Goar,"45 Part:two Emily Cadik, Executive Director, Affordable Housing Tax Credit Coalition",MATCHED,2444443,77
Wednesday July 1,10:05 PM,The apartment department,Season 3 Episode 4 AI Fluency: Moving from Concept to Practice in Multifamily,NEEDS UPLOAD,,65
Wednesday July 1,11:15 PM,The NAA Apartmentcast,Season 3 Episode 10 The NAA Apartmentcast - Dive into New Rental Housing Research with NAA's George Ratiu,MATCHED,7889229,100
Thursday July 2,12:05 AM,Multifamily Matters,6 The Best Ways to Deal With Difficult Residents at Multifamily Properties,NEEDS UPLOAD,,67
Thursday July 2,1:00 AM,ChangeMakers with Katie Goar,"24 Part:two Kate Bennett, Administrator, Boston Housing Authority",NEEDS UPLOAD,,51
Thursday July 2,1:25 AM,The Lease-Up - MHN Mission Success,": S5 EP9 Mission Success: Multifamily Remains Compelling, Says Finance Specialist",NEEDS UPLOAD,,61
Thursday July 2,1:40 AM,The apartment department,Season 3 Episode 7 Jillian Fikkert on Earning a Seat at the Table: How Marketing Leaders Build Internal Influence,NEEDS UPLOAD,,53
Thursday July 2,2:35 AM,The NAA Apartmentcast,Season 1 Episode 7 The NAA ApartmentCast - 2023 Dollar of Rent,MATCHED,7889011,100
Thursday July 2,3:00 AM,Multifamily Matters,84 Artificial Intelligence – A Seamless Experience,MATCHED,2350590,93
Thursday July 2,3:55 AM,ChangeMakers with Katie Goar,"39 Part:one Daniel Nissenbaum, Chief Executive Officer, Low Income Investment Fund",NEEDS UPLOAD,,57
Thursday July 2,4:20 AM,The Lease-Up - MHN Mission Success,Mission Success: Maximizing Multifamily NOI Through Flex Living,MATCHED,2444188,100
Thursday July 2,4:50 AM,The apartment department,Season 1 Episode 12 Multifamily Marketing Words of Wisdom,MATCHED,2444217,76
Thursday July 2,5:35 AM,The NAA Apartmentcast,Season 2 Episode 5 The NAA Apartmentcast - Women in Technology Episode 2,MATCHED,7889219,98
Thursday July 2,6:15 AM,Multifamily Matters,134 Access Control in the COVID-19 Era for Multifamily Properties,NEEDS UPLOAD,,64
Thursday July 2,7:10 AM,ChangeMakers with Katie Goar,"43 Part:one Anu Natarajan, Housing Initiative Lead, Meta",NEEDS UPLOAD,,68
Thursday July 2,7:25 AM,The Lease-Up - MHN Mission Success,Mission Success: Serving Neighborhoods Through Workforce Housing,MATCHED,2444193,100
Thursday July 2,7:45 AM,The apartment department,Season 1 Episode 4 Foolproof Way to Increase Conversion Rates: The Power of Follow-Ups,MATCHED,2370805,81
Thursday July 2,8:20 AM,The NAA Apartmentcast,Season 3 Episode 11 The NAA Apartmentcast - What's Up in Washington? Talking Housing Policy with NAA's Nicole Upano,MATCHED,7889230,100
Thursday July 2,9:00 AM,Multifamily - From The Ground Up,Episode - 004 Why Affordable Housing Deals Are Dying,MATCHED,2444151,75
Thursday July 2,9:40 AM,ChangeMakers with Katie Goar,"31 Part:two Sister Donna Markham, President and CEO, Catholic Charities USA",NEEDS UPLOAD,,52
Thursday July 2,10:00 AM,Multifamily Matters,431 Building A Superhighway To Housing,NEEDS UPLOAD,,55
Thursday July 2,10:50 AM,The Lease-Up - MHN Top Marketers,Why Change Makes Sense in Marketing,NEEDS UPLOAD,,66
